"StockCode","UPC","NutrientMasterID","ValuePreparedType","AddedItem","Nutrient","PercentDailyValue","Quantity","ServingSizeText","ServingSizeUOM","ServingsPerContainer","UOM","ProprietaryBlends"
"010030","705077002123","10","0","","Potassium","-2","40.0","1","Caplet","100","mg",""
"040001","791083005173","36","0","","Chromium","80","","1","packet","20","",""
"040201","791083006132","30","0","","Vitamin E","100","","17","fl oz","1","",""
"040260","791083006439","39","0","","Iodine","50","","17","fl oz","1","",""
"040329","791083538602","20","0","","Vitamin C","100","","14","fl oz","1","",""
"040702","638102203342","8","0","","Cholesterol","2","5.0","1","bar","12","mg",""
"040732","638102538390","15","0","","Sugars","","14.0","1","Bar","12","g",""
"050015","027692103000","11","0","","Total Carbohydrate","34","103.0","4","packed scoops","21","g",""
"050061","027692111302","818","0","","Citrimax","","200.0","1","packet","20","mg",""
"050104","027692124609","8","0","","Cholesterol","5","15.0","1","packet","20","mg",""
"050130","027692131904","29","0","","Vitamin D","50","200.0","1","packet","20","IU",""
"050183","027692310019","40","0","","Magnesium","50","200.0","","","","mg",""
"080042","098318104213","73","1","In 16 oz whole milk","Folic Acid","35","","","","","",""
"100223","788434113519","21","0","","Calcium","6","","1","bar","12","",""
"100256","788434114257","22","0","","Iron","6","","1","bar","12","",""
"100256","788434114257","7545","0","","Trans Fat","","0.0","1","bar","12","g",""
"100256","788434114257","20405","0","","Phosphorus","6","","1","bar","12","",""
"100256","788434114257","20567","0","","ServingSize-InGrams","","45.0","1","bar","12","g",""
"100257","788434114288","1","0","","Calories","","190.0","1","bar","12","",""
"100257","788434114288","2","0","","Calories from Fat","","80.0","1","bar","12","",""
"100257","788434114288","4","0","","Total Fat","14","9.0","1","bar","12","g",""
"100257","788434114288","5","0","","Saturated Fat","15","3.0","1","bar","12","g",""
"100257","788434114288","6","0","","Polyunsaturated Fat","","1.0","1","bar","12","g",""
"100257","788434114288","7","0","","Monounsaturated Fat","","2.0","1","bar","12","g",""
"100257","788434114288","8","0","","Cholesterol","0","0.0","1","bar","12","mg",""
"100257","788434114288","9","0","","Sodium","2","45.0","1","bar","12","mg",""
"100257","788434114288","10","0","","Potassium","2","80.0","1","bar","12","mg",""
"100257","788434114288","11","0","","Total Carbohydrate","6","18.0","1","bar","12","g",""
"100257","788434114288","12","0","","Dietary Fiber","12","3.0","1","bar","12","g",""
"100257","788434114288","15","0","","Sugars","","4.0","1","bar","12","g",""
"100257","788434114288","16","0","","Sugar Alcohol","","9.0","1","bar","12","g",""
"100257","788434114288","18","0","","Protein","28","14.0","1","bar","12","g",""
"100257","788434114288","19","0","","Vitamin A","0","","1","bar","12","",""
"100257","788434114288","20","0","","Vitamin C","0","","1","bar","12","",""
"100257","788434114288","21","0","","Calcium","8","","1","bar","12","",""
"100257","788434114288","22","0","","Iron","6","","1","bar","12","",""
"100257","788434114288","7545","0","","Trans Fat","","0.0","1","bar","12","g",""
"100257","788434114288","20405","0","","Phosphorus","8","","1","bar","12","",""
"100258","788434114417","1","0","","Calories","","350.0","","","","",""
"100258","788434114417","2","0","","Calories from Fat","","120.0","","","","",""
"100258","788434114417","4","0","","Total Fat","20","13.0","","","","g",""
"100258","788434114417","5","0","","Saturated Fat","25","5.0","","","","g",""
"100258","788434114417","6","0","","Polyunsaturated Fat","","2.0","","","","g",""
"100258","788434114417","7","0","","Monounsaturated Fat","","3.0","","","","g",""
"100258","788434114417","8","0","","Cholesterol","1","5.0","","","","mg",""
"100258","788434114417","9","0","","Sodium","4","90.0","","","","mg",""
"100258","788434114417","10","0","","Potassium","5","170.0","","","","mg",""
"100258","788434114417","11","0","","Total Carbohydrate","9","27.0","","","","g",""
"100258","788434114417","12","0","","Dietary Fiber","15","4.0","","","","g",""
"100258","788434114417","15","0","","Sugars","","8.0","","","","g",""
